City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chuy,UY,64.99,clear sky,-33.6971,-53.4616,Alerces
2,Uray,RU,60.57,light rain,60.1247,64.7758,Турсунт
3,Cabo San Lucas,MX,79.52,overcast clouds,22.8909,-109.9124,Comfort Rooms
7,Urubamba,PE,65.3,overcast clouds,-13.3047,-72.1158,Hospedaje Pino
21,Shimoda,JP,60.1,broken clouds,34.6667,138.95,ホテルウラガ
25,Licata,IT,62.31,few clouds,37.1071,13.9461,Villa Giuliana Relais
28,Rikitea,PF,78.69,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
30,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Grand Bel Air
33,Souillac,MU,73.78,light rain,-20.5167,57.5167,Hotel SkylineInn
39,Marsabit,KE,66.04,overcast clouds,2.3284,37.9899,Chicho Hotel
41,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
46,Mingaora,PK,60.1,clear sky,34.7758,72.3625,Chinar Hotel
49,Castro,BR,71.1,broken clouds,-24.7911,-50.0119,Hotel Central Palace
55,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti International Resort
56,Sao Sebastiao,BR,74.71,scattered clouds,-23.76,-45.4097,Hotel Arrastão
57,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,Townhouse Hotel
62,Hermanus,ZA,55.8,clear sky,-34.4187,19.2345,Aloe guest house
63,Pasighat,IN,66.94,overcast clouds,28.0667,95.3333,Aane Hotel
64,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,The Adventures Inn
68,Pangkalanbuun,ID,75.09,few clouds,-2.6833,111.6167,Hotel Tiara
70,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Pono Kai Resort
76,Santiago Del Estero,AR,63.54,broken clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
80,Cordoba,AR,68.76,clear sky,-31.4135,-64.1811,Hotel Garden
