City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Biak,ID,-0.9131,122.8766,77.43,84,93,5.53,overcast clouds
1,Chuy,UY,-33.6971,-53.4616,64.99,55,3,8.23,clear sky
2,Uray,RU,60.1247,64.7758,60.57,69,100,6.02,light rain
3,Cabo San Lucas,MX,22.8909,-109.9124,79.52,52,100,8.05,overcast clouds
4,Arlit,NE,18.7369,7.3853,91.47,11,44,1.88,scattered clouds
5,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,19.57,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,49.62,76,75,20.71,broken clouds
7,Urubamba,PE,-13.3047,-72.1158,65.3,69,89,5.95,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,42.3,88,13,2.59,few clouds
9,Cockburn Town,TC,21.4612,-71.1419,80.76,75,97,9.89,overcast clouds
10,Ancud,CL,-41.8697,-73.8203,51.24,78,100,3.29,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,27.84,86,100,1.95,overcast clouds
12,Butaritari,KI,3.0707,172.7902,82.13,77,100,11.72,overcast clouds
13,Arkhipo-Osipovka,RU,44.37,38.52,51.89,86,3,2.44,clear sky
14,East London,ZA,-33.0153,27.9116,65.77,87,4,8.5,clear sky
15,Albany,US,42.6001,-73.9662,48.63,86,100,4.97,overcast clouds
16,Chemal,RU,51.4111,86.005,30.51,97,74,1.63,broken clouds
17,Deputatskiy,RU,69.3,139.9,19.54,84,100,5.46,overcast clouds
18,Esna,EG,25.2934,32.554,86.5,13,0,7.96,clear sky
19,Tarko-Sale,RU,64.9225,77.785,31.28,99,100,3.89,overcast clouds
20,Yulara,AU,-25.2406,130.9889,54.45,51,0,9.15,clear sky
21,Shimoda,JP,34.6667,138.95,60.1,80,64,9.8,broken clouds
22,Campos Belos,BR,-13.0367,-46.7717,82.35,45,96,2.46,overcast clouds
23,Jamestown,US,42.097,-79.2353,45.99,87,75,13.8,broken clouds
24,Teguldet,RU,57.3064,88.1667,32.65,97,100,2.21,overcast clouds
25,Licata,IT,37.1071,13.9461,62.31,71,24,11.97,few clouds
26,Tiksi,RU,71.6872,128.8694,29.53,83,21,25.21,few clouds
27,Florida,US,28.7505,-82.5001,82.02,43,0,17.27,clear sky
28,Rikitea,PF,-23.1203,-134.9692,78.69,72,69,12.82,broken clouds
29,Husavik,IS,66.0449,-17.3389,42.96,62,38,3.22,scattered clouds
30,Mahebourg,MU,-20.4081,57.7,74.25,100,75,3.44,light rain
